number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
1710,er,158,1.7999999999999998,em,3.2000000000000015,0.564,81.77047199999988,8.943744710199924,0.542,161.51032800000013,18.095686169478515,0.306
1720,er,158,1.7999999999999998,em,3.2000000000000015,0.592,81.67780800000006,8.859794875904951,0.543,161.08142400000042,17.92343233808764,0.316
1730,er,158,1.7999999999999998,em,3.2000000000000015,0.576,81.53200800000003,8.99131136152725,0.589,162.58725000000044,18.771643007239536,0.323
1740,er,158,1.7999999999999998,em,3.2000000000000015,0.57,81.42832799999998,8.854726854534453,0.563,161.8017029999998,18.88835506667393,0.307
1750,er,158,1.7999999999999998,em,3.2000000000000015,0.581,81.90849599999997,9.074600791769894,0.597,162.90426600000043,17.85049969768386,0.326
1760,er,158,1.7999999999999998,em,3.2000000000000015,0.598,81.90071999999992,8.64758124388576,0.587,161.86464000000018,17.17464601877533,0.334
1770,er,158,1.7999999999999998,em,3.2000000000000015,0.608,82.411992,8.69115029440457,0.561,162.32617799999997,18.47925239532857,0.337
1780,er,158,1.7999999999999998,em,3.2000000000000015,0.603,82.02578400000023,8.563488826483288,0.588,162.60589800000054,16.824820844494813,0.342
1790,er,158,1.7999999999999998,em,3.2000000000000015,0.583,82.07956800000017,8.514149010989607,0.578,162.23060700000013,17.809296278248286,0.322
1800,er,158,1.7999999999999998,em,3.2000000000000015,0.554,81.42703200000005,8.78666779655221,0.607,162.9485550000003,17.680903900388515,0.326
1810,er,158,1.7999999999999998,em,3.2000000000000015,0.606,82.20203999999995,8.786315490715893,0.571,162.13270500000056,17.95217724271164,0.327
1820,er,158,1.7999999999999998,em,3.2000000000000015,0.598,82.05947999999984,8.988761494311866,0.602,162.69913800000018,17.914640533452214,0.347
1830,er,158,1.7999999999999998,em,3.2000000000000015,0.599,82.17482400000006,8.834263425154175,0.566,162.23526900000044,17.673253854410216,0.343
1840,er,158,1.7999999999999998,em,3.2000000000000015,0.59,81.97329600000009,9.44245170791837,0.609,162.19797300000013,16.65337773924975,0.345
1850,er,158,1.7999999999999998,em,3.2000000000000015,0.583,82.14501600000004,8.888158273553422,0.569,161.53130700000048,16.895616551119254,0.333
